Record_ID,Year,Month_Name,Quarter,Facility_ID,Facility_Name,Facility_Type,Region,Facility_Area_SqFt,Energy_Type,Unit_of_Measure,Consumption_Amount,Unit_Cost_INR,Total_Cost_INR,Renewable_Percentage,CO2_Emission_Factor_kgCO2_per_unit,CO2_Emissions_kg,Peak_Demand_kW,Avg_Temperature_C,Heating_Cooling_Degree_Days,Operating_Hours,Headcount_Occupancy
ENG500047,2022,Dec-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1093.3,54.86,59978.44,0.0,0.35,382.65,,20.3,52.1,548.0,433
ENG500048,2022,Dec-2022,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,27835.2,3.27,91021.1,0.0,0.09,2505.17,,20.3,52.1,548.0,433
ENG500049,2023,Jan-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,50101.0,9.14,457923.14,12.6,0.82,35906.38,212.6,22.2,4.7,310.0,431
ENG500050,2023,Jan-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8718.0,42.97,374612.46,0.0,2.02,17610.36,,22.2,4.7,310.0,431
ENG500051,2023,Jan-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1026.9,57.47,59015.94,0.0,0.35,359.42,,22.2,4.7,310.0,431
ENG500052,2023,Jan-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24564.4,3.36,82536.38,0.0,0.09,2210.8,,22.2,4.7,310.0,431
ENG500053,2023,Feb-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,49928.3,8.76,437371.91,8.1,0.82,37624.97,120.9,21.8,4.5,610.0,457
ENG500054,2023,Feb-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8357.3,43.32,362038.24,0.0,2.02,16881.75,,21.8,4.5,610.0,457
ENG500055,2023,Feb-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1113.3,58.89,65562.24,0.0,0.35,389.65,,21.8,4.5,610.0,457
ENG500056,2023,Feb-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24315.7,3.33,80971.28,0.0,0.09,2188.41,,21.8,4.5,610.0,457
ENG500057,2023,Mar-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,60069.8,9.01,541228.9,8.9,0.82,44873.34,230.7,26.7,139.9,416.0,466
ENG500058,2023,Mar-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8227.9,42.94,353306.03,0.0,2.02,16620.36,,26.7,139.9,416.0,466
ENG500059,2023,Mar-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1195.7,59.3,70905.01,0.0,0.35,418.5,,26.7,139.9,416.0,466
ENG500060,2023,Mar-2023,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25363.1,3.32,84205.49,0.0,0.09,2282.68,,26.7,139.9,416.0,466
ENG500061,2023,Apr-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,63277.5,9.18,580887.45,14.4,0.82,44415.74,195.3,30.0,240.1,576.0,469
ENG500062,2023,Apr-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7392.6,44.35,327861.81,0.0,2.02,14933.05,,30.0,240.1,576.0,469
ENG500063,2023,Apr-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1134.8,59.44,67452.51,0.0,0.35,397.18,,30.0,240.1,576.0,469
ENG500064,2023,Apr-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25494.0,3.39,86424.66,0.0,0.09,2294.46,,30.0,240.1,576.0,469
ENG500065,2023,May-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,59678.2,9.14,545458.75,13.2,0.82,42476.56,213.0,28.2,184.9,429.0,461
ENG500066,2023,May-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7649.4,43.05,329306.67,0.0,2.02,15451.79,,28.2,184.9,429.0,461
ENG500067,2023,May-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1219.1,58.85,71744.04,0.0,0.35,426.68,,28.2,184.9,429.0,461
ENG500068,2023,May-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25149.1,3.31,83243.52,0.0,0.09,2263.42,,28.2,184.9,429.0,461
ENG500069,2023,Jun-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,59498.1,8.81,524178.26,11.0,0.82,43421.71,143.1,25.2,97.3,647.0,457
ENG500070,2023,Jun-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8256.8,43.46,358840.53,0.0,2.02,16678.74,,25.2,97.3,647.0,457
ENG500071,2023,Jun-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1181.2,57.48,67895.38,0.0,0.35,413.42,,25.2,97.3,647.0,457
ENG500072,2023,Jun-2023,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26828.4,3.43,92021.41,0.0,0.09,2414.56,,25.2,97.3,647.0,457
ENG500073,2023,Jul-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,58486.5,9.14,534566.61,10.5,0.82,42923.24,180.7,25.3,99.8,430.0,455
ENG500074,2023,Jul-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8153.4,43.64,355814.38,0.0,2.02,16469.87,,25.3,99.8,430.0,455
ENG500075,2023,Jul-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1037.6,58.63,60834.49,0.0,0.35,363.16,,25.3,99.8,430.0,455
ENG500076,2023,Jul-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25475.6,3.44,87636.06,0.0,0.09,2292.8,,25.3,99.8,430.0,455
ENG500077,2023,Aug-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,57891.2,8.69,503074.53,8.6,0.82,43388.3,135.1,26.9,147.8,714.0,470
ENG500078,2023,Aug-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7712.6,43.73,337272.0,0.0,2.02,15579.45,,26.9,147.8,714.0,470
ENG500079,2023,Aug-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1226.2,57.15,70077.33,0.0,0.35,429.17,,26.9,147.8,714.0,470
ENG500080,2023,Aug-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26444.2,3.39,89645.84,0.0,0.09,2379.98,,26.9,147.8,714.0,470
ENG500081,2023,Sep-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,54259.5,8.82,478568.79,11.7,0.82,39287.13,235.6,24.5,74.0,403.0,448
ENG500082,2023,Sep-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7750.1,44.84,347514.48,0.0,2.02,15655.2,,24.5,74.0,403.0,448
ENG500083,2023,Sep-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1037.4,59.35,61569.69,0.0,0.35,363.09,,24.5,74.0,403.0,448
ENG500084,2023,Sep-2023,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25527.6,3.27,83475.25,0.0,0.09,2297.48,,24.5,74.0,403.0,448
ENG500085,2023,Oct-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,61167.5,8.71,532768.93,11.6,0.82,44339.1,136.3,26.5,135.0,607.0,461
ENG500086,2023,Oct-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7484.7,43.2,323339.04,0.0,2.02,15119.09,,26.5,135.0,607.0,461
ENG500087,2023,Oct-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1064.9,56.18,59826.08,0.0,0.35,372.72,,26.5,135.0,607.0,461
ENG500088,2023,Oct-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26775.9,3.28,87824.95,0.0,0.09,2409.83,,26.5,135.0,607.0,461
ENG500089,2023,Nov-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,58722.6,8.68,509712.17,12.0,0.82,42374.23,225.1,22.8,22.6,390.0,446
ENG500090,2023,Nov-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8460.5,45.14,381906.97,0.0,2.02,17090.21,,22.8,22.6,390.0,446
ENG500091,2023,Nov-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1118.5,58.13,65018.41,0.0,0.35,391.47,,22.8,22.6,390.0,446
ENG500092,2023,Nov-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,25342.6,3.43,86925.12,0.0,0.09,2280.83,,22.8,22.6,390.0,446
ENG500093,2023,Dec-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,51174.0,8.93,456983.82,10.9,0.82,37388.75,206.7,21.0,30.4,425.0,455
ENG500094,2023,Dec-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8271.1,44.54,368394.79,0.0,2.02,16707.62,,21.0,30.4,425.0,455
ENG500095,2023,Dec-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1003.6,58.7,58911.32,0.0,0.35,351.26,,21.0,30.4,425.0,455
ENG500096,2023,Dec-2023,Q4,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24855.0,3.36,83512.8,0.0,0.09,2236.95,,21.0,30.4,425.0,455
ENG500097,2024,Jan-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,50394.8,9.11,459096.63,15.5,0.82,34918.56,123.4,20.8,36.0,693.0,463
ENG500098,2024,Jan-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7915.8,47.21,373704.92,0.0,2.02,15989.92,,20.8,36.0,693.0,463
ENG500099,2024,Jan-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,925.8,61.27,56723.77,0.0,0.35,324.03,,20.8,36.0,693.0,463
ENG500100,2024,Jan-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24394.4,3.49,85136.46,0.0,0.09,2195.5,,20.8,36.0,693.0,463
ENG500101,2024,Feb-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,55385.1,9.15,506773.66,16.0,0.82,38149.26,165.3,22.6,18.5,576.0,462
ENG500102,2024,Feb-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8848.4,45.35,401274.94,0.0,2.02,17873.77,,22.6,18.5,576.0,462
ENG500103,2024,Feb-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1052.3,59.85,62980.15,0.0,0.35,368.3,,22.6,18.5,576.0,462
ENG500104,2024,Feb-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26379.8,3.43,90482.71,0.0,0.09,2374.18,,22.6,18.5,576.0,462
ENG500105,2024,Mar-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,63873.9,9.18,586362.4,16.1,0.82,43943.97,174.8,28.8,202.6,609.0,464
ENG500106,2024,Mar-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7898.7,46.86,370133.08,0.0,2.02,15955.37,,28.8,202.6,609.0,464
ENG500107,2024,Mar-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1266.9,59.75,75697.28,0.0,0.35,443.42,,28.8,202.6,609.0,464
ENG500108,2024,Mar-2024,Q1,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,23127.7,3.45,79790.57,0.0,0.09,2081.49,,28.8,202.6,609.0,464
ENG500109,2024,Apr-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,64405.3,9.24,595104.97,11.4,0.82,46791.74,186.4,29.3,218.5,450.0,468
ENG500110,2024,Apr-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,7427.5,45.68,339288.2,0.0,2.02,15003.55,,29.3,218.5,450.0,468
ENG500111,2024,Apr-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1181.3,62.2,73476.86,0.0,0.35,413.45,,29.3,218.5,450.0,468
ENG500112,2024,Apr-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,22805.7,3.56,81188.29,0.0,0.09,2052.51,,29.3,218.5,450.0,468
ENG500113,2024,May-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,63647.6,9.56,608471.06,17.8,0.82,42901.03,189.2,27.4,161.7,498.0,448
ENG500114,2024,May-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8302.5,46.65,387311.62,0.0,2.02,16771.05,,27.4,161.7,498.0,448
ENG500115,2024,May-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1149.5,61.42,70602.29,0.0,0.35,402.32,,27.4,161.7,498.0,448
ENG500116,2024,May-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24129.2,3.57,86141.24,0.0,0.09,2171.63,,27.4,161.7,498.0,448
ENG500117,2024,Jun-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,58730.9,9.34,548546.61,16.7,0.82,40116.73,194.4,27.2,156.6,528.0,446
ENG500118,2024,Jun-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8099.7,46.26,374692.12,0.0,2.02,16361.39,,27.2,156.6,528.0,446
ENG500119,2024,Jun-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1118.4,60.19,67316.5,0.0,0.35,391.44,,27.2,156.6,528.0,446
ENG500120,2024,Jun-2024,Q2,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26344.9,3.45,90889.91,0.0,0.09,2371.04,,27.2,156.6,528.0,446
ENG500121,2024,Jul-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,56601.5,9.46,535450.19,13.6,0.82,40101.03,142.2,24.2,66.5,539.0,448
ENG500122,2024,Jul-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8287.6,47.48,393495.25,0.0,2.02,16740.95,,24.2,66.5,539.0,448
ENG500123,2024,Jul-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1151.4,62.25,71674.65,0.0,0.35,402.99,,24.2,66.5,539.0,448
ENG500124,2024,Jul-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,26769.8,3.63,97174.37,0.0,0.09,2409.28,,24.2,66.5,539.0,448
ENG500125,2024,Aug-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,58534.3,9.43,551978.45,14.2,0.82,41182.39,175.3,23.3,39.9,493.0,426
ENG500126,2024,Aug-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Natural Gas,m3,8043.9,47.43,381522.18,0.0,2.02,16248.68,,23.3,39.9,493.0,426
ENG500127,2024,Aug-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Water,KL,1114.9,59.32,66135.87,0.0,0.35,390.22,,23.3,39.9,493.0,426
ENG500128,2024,Aug-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Steam,kg,24240.5,3.5,84841.75,0.0,0.09,2181.64,,23.3,39.9,493.0,426
ENG500129,2024,Sep-2024,Q3,FAC001,Pune Manufacturing Plant,Manufacturing Plant,Pune,185000,Electricity,kWh,61345.7,9.15,561313.16,13.1,0.82,43713.72,218.5,25.4,101.6,394.0,463
