Order_ID,Order_Date,Month_Name,Calendar_Quarter,Fiscal_Quarter,Region,Sales_Rep,Customer_Segment,Customer_Type,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Net_Sales,Unit_Cost,Total_Cost,Profit,Profit_Margin_Percent,Sales_Channel,Lead_Source,Order_Status,Rep_Monthly_Target
ORD100011,2025-08-03,Aug-2025,Q3,FY2025-Q2,East,Arjun Das,Mid-Market,New,Electronics,USB-C Hub,4,1784.6,6.0,7138.4,428.3,6710.1,1091.15,4364.6,2345.5,34.95,Partner,Website Organic,Completed,242459.0
ORD100012,2025-08-05,Aug-2025,Q3,FY2025-Q2,East,Ritu Ghosh,SMB,New,Electronics,Bluetooth Speaker,6,2549.3,9.9,15295.8,1514.28,13781.52,1629.1,9774.6,4006.92,29.07,Online,Paid Ads,Cancelled,248523.0
ORD100013,2025-08-07,Aug-2025,Q3,FY2025-Q2,East,Ritu Ghosh,SMB,New,Accessories,Laptop Sleeve,4,686.84,1.8,2747.36,49.45,2697.91,389.0,1556.0,1141.91,42.33,Direct,Website Organic,Completed,220087.0
ORD100014,2025-08-07,Aug-2025,Q3,FY2025-Q2,East,Priya Sen,Enterprise,New,Software,CRM License,14,15007.19,12.9,210100.66,27102.99,182997.67,4336.35,60708.9,122288.77,66.83,Partner,Referral,Completed,249713.0
ORD100015,2025-08-09,Aug-2025,Q3,FY2025-Q2,East,Priya Sen,SMB,Returning,Furniture,Office Cabinet,4,9391.77,0.0,37567.08,0.0,37567.08,5399.1,21596.4,15970.68,42.51,Partner,Paid Ads,Completed,199771.0
ORD100016,2025-08-09,Aug-2025,Q3,FY2025-Q2,South,Divya Menon,SMB,Returning,Software,Analytics Suite,1,21631.4,1.7,21631.4,367.73,21263.67,6777.84,6777.84,14485.83,68.12,Direct,Website Organic,Completed,213467.0
ORD100017,2025-08-10,Aug-2025,Q3,FY2025-Q2,East,Priya Sen,SMB,Returning,Software,Analytics Suite,1,22912.41,4.2,22912.41,962.32,21950.09,6600.92,6600.92,15349.17,69.93,Retail,Event/Trade Show,Completed,226575.0
ORD100018,2025-08-11,Aug-2025,Q3,FY2025-Q2,North,Aditi Rao,SMB,New,Software,Cloud Storage Plan,2,5823.2,2.9,11646.4,337.75,11308.65,1774.34,3548.68,7759.97,68.62,Partner,Cold Outreach,Completed,256114.0
ORD100019,2025-08-12,Aug-2025,Q3,FY2025-Q2,South,Divya Menon,Mid-Market,New,Software,Security Suite,9,9112.49,6.6,82012.41,5412.82,76599.59,2764.44,24879.96,51719.63,67.52,Online,Event/Trade Show,Completed,230016.0
ORD100020,2025-08-13,Aug-2025,Q3,FY2025-Q2,South,Rahul Nair,SMB,Returning,Electronics,Smartwatch,3,8570.49,0.0,25711.47,0.0,25711.47,5494.26,16482.78,9228.69,35.89,Online,Website Organic,Completed,180666.0
ORD100021,2025-08-13,Aug-2025,Q3,FY2025-Q2,South,Vikram Reddy,Enterprise,New,Electronics,Wireless Mouse,11,894.06,17.2,9834.66,1691.56,8143.1,561.95,6181.45,1961.65,24.09,Online,Website Organic,Completed,250198.0
ORD100022,2025-08-14,Aug-2025,Q3,FY2025-Q2,East,Ritu Ghosh,SMB,Returning,Electronics,Wireless Mouse,2,856.42,7.1,1712.84,121.61,1591.23,526.99,1053.98,537.25,33.76,Online,Cold Outreach,Completed,206643.0
ORD100023,2025-08-14,Aug-2025,Q3,FY2025-Q2,West,Simran Kaur,Enterprise,Returning,Software,Cloud Storage Plan,10,6026.55,14.6,60265.5,8798.76,51466.74,1811.84,18118.4,33348.34,64.8,Online,Paid Ads,Completed,223067.0
ORD100024,2025-08-14,Aug-2025,Q3,FY2025-Q2,North,Aditi Rao,Enterprise,Returning,Electronics,Bluetooth Speaker,13,2571.85,14.7,33434.05,4914.81,28519.24,1554.43,20207.59,8311.65,29.14,Direct,Paid Ads,Completed,254902.0
ORD100025,2025-08-15,Aug-2025,Q3,FY2025-Q2,North,Karan Mehta,Mid-Market,Returning,Accessories,Cable Management Kit,4,353.46,5.0,1413.84,70.69,1343.15,198.54,794.16,548.99,40.87,Online,Paid Ads,Completed,221314.0
ORD100026,2025-08-20,Aug-2025,Q3,FY2025-Q2,West,Neha Shah,Mid-Market,New,Software,CRM License,4,15489.73,4.3,61958.92,2664.23,59294.69,4671.72,18686.88,40607.81,68.48,Online,Website Organic,Completed,246249.0
ORD100027,2025-08-21,Aug-2025,Q3,FY2025-Q2,North,Sneha Iyer,Enterprise,Returning,Accessories,Desk Organizer,18,443.45,15.2,7982.1,1213.28,6768.82,243.97,4391.46,2377.36,35.12,Online,Website Organic,Completed,248701.0
ORD100028,2025-08-23,Aug-2025,Q3,FY2025-Q2,East,Priya Sen,SMB,Returning,Electronics,Smartwatch,4,8465.31,0.0,33861.24,0.0,33861.24,5374.78,21499.12,12362.12,36.51,Partner,Cold Outreach,Completed,223310.0
ORD100029,2025-08-23,Aug-2025,Q3,FY2025-Q2,South,Divya Menon,SMB,New,Furniture,Bookshelf,1,5357.85,3.3,5357.85,176.81,5181.04,3141.04,3141.04,2040.0,39.37,Online,Referral,Completed,197564.0
ORD100030,2025-08-24,Aug-2025,Q3,FY2025-Q2,West,Simran Kaur,Mid-Market,New,Software,CRM License,9,14893.42,2.4,134040.78,3216.98,130823.8,4515.23,40637.07,90186.73,68.94,Online,Paid Ads,Completed,196500.0
ORD100031,2025-08-24,Aug-2025,Q3,FY2025-Q2,South,Rahul Nair,Mid-Market,Returning,Furniture,Ergonomic Chair,14,12541.73,5.8,175584.22,10183.88,165400.34,7297.17,102160.38,63239.96,38.23,Retail,Website Organic,Completed,181069.0
ORD100032,2025-08-26,Aug-2025,Q3,FY2025-Q2,South,Rahul Nair,Enterprise,New,Software,Security Suite,12,9218.3,10.0,110619.6,11061.96,99557.64,2894.93,34739.16,64818.48,65.11,Online,Website Organic,Completed,244305.0
ORD100033,2025-08-26,Aug-2025,Q3,FY2025-Q2,South,Rahul Nair,Mid-Market,Returning,Electronics,USB-C Hub,5,1749.62,10.9,8748.1,953.54,7794.56,1031.43,5157.15,2637.41,33.84,Online,Website Organic,Completed,244360.0
ORD100034,2025-08-27,Aug-2025,Q3,FY2025-Q2,West,Simran Kaur,SMB,Returning,Accessories,Webcam Cover,5,148.89,5.9,744.45,43.92,700.53,79.49,397.45,303.08,43.26,Direct,Paid Ads,Completed,211260.0
ORD100035,2025-08-29,Aug-2025,Q3,FY2025-Q2,North,Sneha Iyer,Mid-Market,Returning,Electronics,Bluetooth Speaker,6,2597.28,3.7,15583.68,576.6,15007.08,1564.41,9386.46,5620.62,37.45,Retail,Event/Trade Show,Completed,186158.0
ORD100036,2025-08-29,Aug-2025,Q3,FY2025-Q2,East,Ritu Ghosh,Enterprise,New,Furniture,Standing Desk,11,18533.23,9.6,203865.53,19571.09,184294.44,10495.66,115452.26,68842.18,37.35,Partner,Website Organic,Completed,195274.0
ORD100037,2025-08-29,Aug-2025,Q3,FY2025-Q2,East,Priya Sen,Mid-Market,Returning,Software,Analytics Suite,10,21038.91,9.8,210389.1,20618.13,189770.97,6516.38,65163.8,124607.17,65.66,Direct,Website Organic,Completed,196085.0
ORD100038,2025-08-31,Aug-2025,Q3,FY2025-Q2,East,Ritu Ghosh,Enterprise,Returning,Accessories,Laptop Sleeve,18,722.78,11.4,13010.04,1483.14,11526.9,400.58,7210.44,4316.46,37.45,Online,Referral,Completed,239855.0
ORD100039,2025-08-31,Aug-2025,Q3,FY2025-Q2,West,Rohan Patil,SMB,Returning,Software,Cloud Storage Plan,5,6042.7,0.0,30213.5,0.0,30213.5,1746.22,8731.1,21482.4,71.1,Retail,Referral,Completed,212187.0
ORD100040,2025-08-31,Aug-2025,Q3,FY2025-Q2,South,Rahul Nair,Mid-Market,Returning,Software,Cloud Storage Plan,8,6105.68,10.3,48845.44,5031.08,43814.36,1821.27,14570.16,29244.2,66.75,Retail,Website Organic,Returned,220320.0
ORD100041,2025-08-31,Aug-2025,Q3,FY2025-Q2,West,Neha Shah,Mid-Market,Returning,Software,Analytics Suite,7,21720.87,10.7,152046.09,16268.93,135777.16,6307.32,44151.24,91625.92,67.48,Direct,Paid Ads,Completed,193578.0
ORD100042,2025-08-31,Aug-2025,Q3,FY2025-Q2,North,Aditi Rao,Mid-Market,New,Software,Cloud Storage Plan,9,6202.89,12.1,55826.01,6754.95,49071.06,1878.14,16903.26,32167.8,65.55,Retail,Referral,Completed,186765.0
ORD100043,2025-08-31,Aug-2025,Q3,FY2025-Q2,East,Ritu Ghosh,Enterprise,Returning,Furniture,Bookshelf,10,5341.18,14.7,53411.8,7851.53,45560.27,3251.92,32519.2,13041.07,28.62,Online,Website Organic,Cancelled,217201.0
ORD100044,2025-08-31,Aug-2025,Q3,FY2025-Q2,West,Rohan Patil,SMB,Returning,Accessories,Cable Management Kit,4,347.74,1.1,1390.96,15.3,1375.66,196.79,787.16,588.5,42.78,Retail,Referral,Completed,255391.0
ORD100045,2025-09-02,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,SMB,Returning,Software,CRM License,4,15388.94,0.0,61555.76,0.0,61555.76,4445.72,17782.88,43772.88,71.11,Online,Paid Ads,Completed,196841.0
ORD100046,2025-09-02,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,Mid-Market,New,Furniture,Bookshelf,6,5767.7,4.7,34606.2,1626.49,32979.71,3439.12,20634.72,12344.99,37.43,Online,Paid Ads,Completed,250032.0
ORD100047,2025-09-04,Sep-2025,Q3,FY2025-Q2,South,Vikram Reddy,SMB,New,Electronics,Bluetooth Speaker,2,2445.48,3.7,4890.96,180.97,4709.99,1541.09,3082.18,1627.81,34.56,Online,Referral,Completed,241213.0
ORD100048,2025-09-06,Sep-2025,Q3,FY2025-Q2,West,Rohan Patil,SMB,New,Furniture,Ergonomic Chair,5,12289.97,3.1,61449.85,1904.95,59544.9,7005.74,35028.7,24516.2,41.17,Retail,Website Organic,Completed,256116.0
ORD100049,2025-09-07,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,Mid-Market,Returning,Accessories,Desk Organizer,8,466.63,0.0,3733.04,0.0,3733.04,266.99,2135.92,1597.12,42.78,Direct,Cold Outreach,Completed,242851.0
ORD100050,2025-09-09,Sep-2025,Q3,FY2025-Q2,North,Karan Mehta,SMB,New,Software,Security Suite,4,9553.95,2.2,38215.8,840.75,37375.05,2785.42,11141.68,26233.37,70.19,Partner,Paid Ads,Completed,249654.0
ORD100051,2025-09-09,Sep-2025,Q3,FY2025-Q2,West,Neha Shah,SMB,Returning,Accessories,Laptop Sleeve,2,703.8,5.1,1407.6,71.79,1335.81,398.15,796.3,539.51,40.39,Direct,Referral,Completed,229220.0
ORD100052,2025-09-09,Sep-2025,Q3,FY2025-Q2,East,Ritu Ghosh,Mid-Market,Returning,Software,CRM License,4,15404.17,7.5,61616.68,4621.25,56995.43,4547.5,18190.0,38805.43,68.09,Retail,Cold Outreach,Completed,220102.0
ORD100053,2025-09-10,Sep-2025,Q3,FY2025-Q2,North,Karan Mehta,Mid-Market,Returning,Accessories,Laptop Sleeve,3,723.74,7.7,2171.22,167.18,2004.04,389.34,1168.02,836.02,41.72,Online,Paid Ads,Completed,240062.0
ORD100054,2025-09-10,Sep-2025,Q3,FY2025-Q2,North,Aditi Rao,SMB,New,Furniture,Ergonomic Chair,5,12427.79,0.3,62138.95,186.42,61952.53,6910.82,34554.1,27398.43,44.22,Online,Paid Ads,Completed,203502.0
ORD100055,2025-09-11,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,SMB,New,Electronics,USB-C Hub,4,1744.62,2.2,6978.48,153.53,6824.95,1076.86,4307.44,2517.51,36.89,Direct,Cold Outreach,Completed,243558.0
ORD100056,2025-09-12,Sep-2025,Q3,FY2025-Q2,North,Karan Mehta,SMB,New,Software,Security Suite,4,9273.0,4.9,37092.0,1817.51,35274.49,2901.14,11604.56,23669.93,67.1,Online,Referral,Completed,192038.0
ORD100057,2025-09-12,Sep-2025,Q3,FY2025-Q2,West,Neha Shah,Enterprise,Returning,Software,Analytics Suite,15,20911.06,10.3,313665.9,32307.59,281358.31,6031.67,90475.05,190883.26,67.84,Partner,Website Organic,Completed,199957.0
ORD100058,2025-09-13,Sep-2025,Q3,FY2025-Q2,East,Ritu Ghosh,Enterprise,New,Accessories,Webcam Cover,11,156.14,9.4,1717.54,161.45,1556.09,83.92,923.12,632.97,40.68,Online,Referral,Completed,246476.0
ORD100059,2025-09-13,Sep-2025,Q3,FY2025-Q2,North,Karan Mehta,Mid-Market,Returning,Accessories,Desk Organizer,7,458.2,4.3,3207.4,137.92,3069.48,261.41,1829.87,1239.61,40.39,Retail,Website Organic,Completed,255413.0
ORD100060,2025-09-14,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,Enterprise,Returning,Electronics,Bluetooth Speaker,13,2519.21,12.6,32749.73,4126.47,28623.26,1636.97,21280.61,7342.65,25.65,Online,Referral,Completed,182595.0
ORD100061,2025-09-14,Sep-2025,Q3,FY2025-Q2,East,Ritu Ghosh,SMB,Returning,Software,Security Suite,6,9306.54,1.8,55839.24,1005.11,54834.13,2715.61,16293.66,38540.47,70.29,Direct,Paid Ads,Completed,245884.0
ORD100062,2025-09-15,Sep-2025,Q3,FY2025-Q2,West,Rohan Patil,Enterprise,Returning,Accessories,Webcam Cover,12,144.87,17.7,1738.44,307.7,1430.74,80.2,962.4,468.34,32.73,Online,Referral,Completed,242520.0
ORD100063,2025-09-15,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,SMB,Returning,Electronics,Bluetooth Speaker,1,2545.97,0.0,2545.97,0.0,2545.97,1525.02,1525.02,1020.95,40.1,Direct,Event/Trade Show,Completed,185476.0
ORD100064,2025-09-15,Sep-2025,Q3,FY2025-Q2,South,Vikram Reddy,Mid-Market,Returning,Software,Cloud Storage Plan,6,5726.42,5.0,34358.52,1717.93,32640.59,1707.31,10243.86,22396.73,68.62,Partner,Event/Trade Show,Completed,222533.0
ORD100065,2025-09-17,Sep-2025,Q3,FY2025-Q2,East,Priya Sen,SMB,Returning,Software,Analytics Suite,2,21299.91,0.0,42599.82,0.0,42599.82,6632.36,13264.72,29335.1,68.86,Direct,Paid Ads,Completed,256649.0
ORD100066,2025-09-17,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,Enterprise,Returning,Software,Cloud Storage Plan,15,6081.25,11.1,91218.75,10125.28,81093.47,1870.42,28056.3,53037.17,65.4,Retail,Website Organic,Completed,245958.0
ORD100067,2025-09-18,Sep-2025,Q3,FY2025-Q2,North,Aditi Rao,SMB,New,Accessories,Desk Organizer,2,438.17,0.0,876.34,0.0,876.34,242.14,484.28,392.06,44.74,Online,Event/Trade Show,Completed,224752.0
ORD100068,2025-09-19,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,Enterprise,Returning,Accessories,Cable Management Kit,16,346.33,10.8,5541.28,598.46,4942.82,193.74,3099.84,1842.98,37.29,Direct,Event/Trade Show,Completed,201274.0
ORD100069,2025-09-20,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,Enterprise,New,Accessories,Cable Management Kit,13,348.59,11.4,4531.67,516.61,4015.06,191.66,2491.58,1523.48,37.94,Partner,Website Organic,Completed,215380.0
ORD100070,2025-09-20,Sep-2025,Q3,FY2025-Q2,West,Rohan Patil,SMB,New,Furniture,Standing Desk,1,17280.44,5.8,17280.44,1002.27,16278.17,10184.74,10184.74,6093.43,37.43,Direct,Referral,Completed,246796.0
ORD100071,2025-09-22,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,SMB,Returning,Furniture,Office Cabinet,1,8799.95,2.5,8799.95,220.0,8579.95,5286.67,5286.67,3293.28,38.38,Direct,Event/Trade Show,Completed,199830.0
ORD100072,2025-09-22,Sep-2025,Q3,FY2025-Q2,East,Priya Sen,Mid-Market,New,Furniture,Standing Desk,6,17211.39,6.9,103268.34,7125.52,96142.82,9893.26,59359.56,36783.26,38.26,Online,Paid Ads,Completed,187007.0
ORD100073,2025-09-22,Sep-2025,Q3,FY2025-Q2,North,Karan Mehta,SMB,New,Accessories,Laptop Sleeve,2,670.85,0.0,1341.7,0.0,1341.7,362.86,725.72,615.98,45.91,Retail,Cold Outreach,Completed,244435.0
ORD100074,2025-09-22,Sep-2025,Q3,FY2025-Q2,East,Priya Sen,SMB,New,Furniture,Bookshelf,2,5423.59,1.9,10847.18,206.1,10641.08,2999.31,5998.62,4642.46,43.63,Retail,Website Organic,Completed,200786.0
ORD100075,2025-09-23,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,SMB,New,Software,Cloud Storage Plan,5,5946.78,4.4,29733.9,1308.29,28425.61,1759.14,8795.7,19629.91,69.06,Direct,Paid Ads,Cancelled,192496.0
ORD100076,2025-09-23,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,SMB,Returning,Software,Security Suite,5,9748.59,0.9,48742.95,438.69,48304.26,2959.31,14796.55,33507.71,69.37,Direct,Cold Outreach,Completed,214370.0
ORD100077,2025-09-23,Sep-2025,Q3,FY2025-Q2,North,Sneha Iyer,Mid-Market,Returning,Accessories,Cable Management Kit,7,333.07,9.7,2331.49,226.15,2105.34,179.97,1259.79,845.55,40.16,Direct,Cold Outreach,Completed,226029.0
ORD100078,2025-09-23,Sep-2025,Q3,FY2025-Q2,South,Divya Menon,SMB,Returning,Accessories,Laptop Sleeve,4,697.48,4.4,2789.92,122.76,2667.16,389.38,1557.52,1109.64,41.6,Online,Referral,Completed,259753.0
ORD100079,2025-09-25,Sep-2025,Q3,FY2025-Q2,North,Aditi Rao,Enterprise,Returning,Accessories,Laptop Sleeve,11,697.57,8.8,7673.27,675.25,6998.02,385.51,4240.61,2757.41,39.4,Online,Paid Ads,Cancelled,184033.0
ORD100080,2025-09-25,Sep-2025,Q3,FY2025-Q2,West,Neha Shah,SMB,Returning,Electronics,Bluetooth Speaker,4,2511.67,8.7,10046.68,874.06,9172.62,1611.99,6447.96,2724.66,29.7,Partner,Website Organic,Cancelled,228439.0
ORD100081,2025-09-26,Sep-2025,Q3,FY2025-Q2,South,Rahul Nair,Mid-Market,New,Furniture,Standing Desk,1,17632.48,4.4,17632.48,775.83,16856.65,10392.34,10392.34,6464.31,38.35,Direct,Cold Outreach,Completed,205882.0
ORD100082,2025-09-26,Sep-2025,Q3,FY2025-Q2,East,Arjun Das,SMB,New,Furniture,Office Cabinet,5,9282.09,0.9,46410.45,417.69,45992.76,5269.62,26348.1,19644.66,42.71,Online,Website Organic,Completed,224349.0
ORD100083,2025-09-26,Sep-2025,Q3,FY2025-Q2,North,Karan Mehta,Mid-Market,Returning,Accessories,Laptop Sleeve,6,732.03,6.0,4392.18,263.53,4128.65,395.16,2370.96,1757.69,42.57,Online,Referral,Completed,222550.0
ORD100084,2025-09-26,Sep-2025,Q3,FY2025-Q2,West,Simran Kaur,Enterprise,Returning,Software,CRM License,13,14730.04,11.4,191490.52,21829.92,169660.6,4414.17,57384.21,112276.39,66.18,Partner,Cold Outreach,Completed,239080.0
ORD100085,2025-09-26,Sep-2025,Q3,FY2025-Q2,East,Priya Sen,SMB,New,Software,Security Suite,3,9429.64,0.7,28288.92,198.02,28090.9,2826.64,8479.92,19610.98,69.81,Direct,Paid Ads,Completed,221885.0
ORD100086,2025-09-26,Sep-2025,Q3,FY2025-Q2,South,Vikram Reddy,Mid-Market,Returning,Accessories,Laptop Sleeve,4,671.02,10.1,2684.08,271.09,2412.99,374.15,1496.6,916.39,37.98,Direct,Referral,Completed,200185.0
ORD100087,2025-09-29,Sep-2025,Q3,FY2025-Q2,South,Divya Menon,SMB,Returning,Software,Security Suite,2,9542.53,6.0,19085.06,1145.1,17939.96,2816.18,5632.36,12307.6,68.6,Partner,Cold Outreach,Returned,258014.0
ORD100088,2025-09-30,Sep-2025,Q3,FY2025-Q2,West,Rohan Patil,SMB,New,Furniture,Office Cabinet,4,8906.34,5.2,35625.36,1852.52,33772.84,4969.61,19878.44,13894.4,41.14,Direct,Event/Trade Show,Completed,207144.0
ORD100089,2025-10-01,Oct-2025,Q4,FY2025-Q3,East,Arjun Das,SMB,Returning,Accessories,Laptop Sleeve,4,672.44,7.5,2689.76,201.73,2488.03,368.27,1473.08,1014.95,40.79,Retail,Paid Ads,Completed,190828.0
ORD100090,2025-10-02,Oct-2025,Q4,FY2025-Q3,North,Karan Mehta,Mid-Market,Returning,Software,Security Suite,5,9577.65,11.4,47888.25,5459.26,42428.99,2940.64,14703.2,27725.79,65.35,Online,Referral,Completed,249753.0
ORD100091,2025-10-02,Oct-2025,Q4,FY2025-Q3,East,Priya Sen,SMB,Returning,Accessories,Desk Organizer,4,451.35,3.5,1805.4,63.19,1742.21,257.43,1029.72,712.49,40.9,Retail,Cold Outreach,Completed,217593.0
ORD100092,2025-10-02,Oct-2025,Q4,FY2025-Q3,East,Arjun Das,SMB,Returning,Software,Analytics Suite,5,22286.2,6.1,111431.0,6797.29,104633.71,6936.67,34683.35,69950.36,66.85,Partner,Referral,Completed,212434.0
ORD100093,2025-10-03,Oct-2025,Q4,FY2025-Q3,East,Ritu Ghosh,Enterprise,Returning,Furniture,Ergonomic Chair,12,12474.08,7.4,149688.96,11076.98,138611.98,7505.46,90065.52,48546.46,35.02,Online,Paid Ads,Completed,228830.0
ORD100094,2025-10-03,Oct-2025,Q4,FY2025-Q3,North,Karan Mehta,SMB,New,Software,Cloud Storage Plan,5,5975.6,6.5,29878.0,1942.07,27935.93,1738.79,8693.95,19241.98,68.88,Online,Cold Outreach,Completed,254830.0
ORD100095,2025-10-04,Oct-2025,Q4,FY2025-Q3,South,Vikram Reddy,Mid-Market,New,Software,Cloud Storage Plan,8,6274.77,11.2,50198.16,5622.19,44575.97,1886.84,15094.72,29481.25,66.14,Online,Website Organic,Completed,193069.0
ORD100096,2025-10-05,Oct-2025,Q4,FY2025-Q3,North,Aditi Rao,SMB,Returning,Furniture,Office Cabinet,5,8908.01,4.7,44540.05,2093.38,42446.67,5169.59,25847.95,16598.72,39.1,Online,Referral,Completed,250243.0
ORD100097,2025-10-05,Oct-2025,Q4,FY2025-Q3,East,Priya Sen,SMB,Returning,Software,Cloud Storage Plan,6,6166.69,0.0,37000.14,0.0,37000.14,1930.84,11585.04,25415.1,68.69,Partner,Website Organic,Completed,193286.0
ORD100098,2025-10-05,Oct-2025,Q4,FY2025-Q3,North,Karan Mehta,Mid-Market,Returning,Software,CRM License,4,14463.83,1.2,57855.32,694.26,57161.06,4413.1,17652.4,39508.66,69.12,Direct,Paid Ads,Completed,181920.0
ORD100099,2025-10-05,Oct-2025,Q4,FY2025-Q3,South,Divya Menon,Enterprise,Returning,Accessories,Cable Management Kit,10,366.37,8.2,3663.7,300.42,3363.28,203.27,2032.7,1330.58,39.56,Online,Paid Ads,Completed,230220.0
ORD100100,2025-10-06,Oct-2025,Q4,FY2025-Q3,East,Ritu Ghosh,Enterprise,New,Electronics,Bluetooth Speaker,24,2593.58,13.5,62245.92,8403.2,53842.72,1591.83,38203.92,15638.8,29.05,Retail,Event/Trade Show,Completed,206735.0
ORD100101,2025-10-08,Oct-2025,Q4,FY2025-Q3,East,Ritu Ghosh,SMB,Returning,Accessories,Cable Management Kit,5,334.88,6.1,1674.4,102.14,1572.26,185.45,927.25,645.01,41.02,Online,Website Organic,Cancelled,180886.0
ORD100102,2025-10-09,Oct-2025,Q4,FY2025-Q3,East,Arjun Das,Enterprise,New,Accessories,Laptop Sleeve,13,734.41,16.6,9547.33,1584.86,7962.47,410.76,5339.88,2622.59,32.94,Retail,Paid Ads,Completed,226047.0
ORD100103,2025-10-09,Oct-2025,Q4,FY2025-Q3,North,Aditi Rao,SMB,Returning,Software,CRM License,2,14586.9,1.2,29173.8,350.09,28823.71,4463.3,8926.6,19897.11,69.03,Online,Website Organic,Completed,221054.0
ORD100104,2025-10-09,Oct-2025,Q4,FY2025-Q3,North,Aditi Rao,SMB,New,Electronics,Smartwatch,2,8126.79,2.9,16253.58,471.35,15782.23,4996.04,9992.08,5790.15,36.69,Partner,Paid Ads,Completed,188374.0
ORD100105,2025-10-10,Oct-2025,Q4,FY2025-Q3,North,Aditi Rao,Mid-Market,Returning,Accessories,Cable Management Kit,6,354.4,7.7,2126.4,163.73,1962.67,202.53,1215.18,747.49,38.09,Direct,Website Organic,Completed,253043.0
ORD100106,2025-10-10,Oct-2025,Q4,FY2025-Q3,East,Ritu Ghosh,SMB,Returning,Accessories,Webcam Cover,5,154.36,6.2,771.8,47.85,723.95,87.71,438.55,285.4,39.42,Online,Website Organic,Completed,226318.0
ORD100107,2025-10-11,Oct-2025,Q4,FY2025-Q3,North,Aditi Rao,Enterprise,Returning,Software,Security Suite,20,9641.91,18.9,192838.2,36446.42,156391.78,2939.73,58794.6,97597.18,62.41,Direct,Event/Trade Show,Completed,202978.0
