Company,Record_ID,Region,Country,City,Warehouse_ID,Warehouse_Name,SKU_ID,Product_Name,Product_Category,ABC_Classification,Supplier_Name,Unit_Cost_USD,Unit_Price_USD,Lead_Time_Days,Week_Start_Date,Month_Name,Quarter,Week_Number,Beginning_Inventory_Units,Units_Received,Demand_Forecast_Units,Actual_Demand_Units,Units_Sold,Backorder_Units,Ending_Inventory_Units,Safety_Stock_Units,Reorder_Point_Units,Max_Stock_Level_Units,Stockout_Flag,Stockout_Days,Fill_Rate_Percent,Avg_Inventory_Units,Inventory_Value_USD,Inventory_Turnover_Ratio_Annualized,Days_of_Supply,Carrying_Cost_Percent_Annual,Weekly_Carrying_Cost_USD
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400469,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1019,Hand Sanitizer,Health & Beauty,C,Apex Wholesale,134.16,326.82,14,2026-01-05,Jan-2026,Q1,1,210.0,0,40.6,31.0,31.0,0.0,179.0,39,120,214,No,0,100.0,194.5,24014.64,8.29,40.4,0.258,129.47
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400495,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1020,Ceramic Mug Set,Home & Kitchen,C,Meridian Trading Co.,102.92,234.42,10,2026-01-05,Jan-2026,Q1,1,121.0,0,39.2,32.0,32.0,0.0,89.0,28,84,149,No,0,100.0,105.0,9159.88,15.85,19.5,0.199,41.36
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400521,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1021,Cereal Box,Grocery/FMCG,A,Meridian Trading Co.,81.45,189.19,10,2026-01-05,Jan-2026,Q1,1,1179.0,0,328.5,358.0,358.0,0.0,821.0,195,664,1332,No,0,100.0,1000.0,66870.45,18.62,16.1,0.163,255.31
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400547,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1022,Bluetooth Speaker,Electronics,C,Vertex Sourcing Inc.,76.39,132.63,7,2026-01-05,Jan-2026,Q1,1,63.0,0,26.5,23.0,23.0,0.0,40.0,16,42,92,No,0,100.0,51.5,3055.6,23.22,12.2,0.192,14.53
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400573,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1023,Peanut Butter Jar,Grocery/FMCG,C,Pioneer Import Export,34.25,53.09,10,2026-01-05,Jan-2026,Q1,1,69.0,0,25.1,26.0,26.0,0.0,43.0,24,59,97,No,0,100.0,56.0,1472.75,24.14,11.6,0.272,10.03
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400599,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1024,Olive Oil 1L,Grocery/FMCG,B,Pioneer Import Export,106.99,242.54,10,2026-01-05,Jan-2026,Q1,1,385.0,0,113.2,124.0,124.0,0.0,261.0,48,209,435,No,0,100.0,323.0,27924.39,19.96,14.7,0.246,163.48
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400625,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1025,Portable SSD,Electronics,A,Union Supply Chain Ltd.,12.6,23.14,10,2026-01-05,Jan-2026,Q1,1,1227.0,0,387.7,347.0,347.0,0.0,880.0,225,778,1403,No,0,100.0,1053.5,11088.0,17.13,17.8,0.268,68.41
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400651,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1026,Protein Powder,Grocery/FMCG,C,Summit Vendor Group,109.08,265.46,21,2026-01-05,Jan-2026,Q1,1,84.0,0,21.2,22.0,22.0,0.0,62.0,18,81,135,No,0,100.0,73.0,6762.96,15.67,19.7,0.204,31.24
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400677,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1027,Vacuum Flask,Home & Kitchen,C,Meridian Trading Co.,75.53,151.31,7,2026-01-05,Jan-2026,Q1,1,162.0,0,44.9,37.0,37.0,0.0,125.0,26,70,181,No,0,100.0,143.5,9441.25,13.41,23.6,0.23,47.94
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400703,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1028,Non-stick Pan,Home & Kitchen,C,Union Supply Chain Ltd.,119.72,304.78,10,2026-01-05,Jan-2026,Q1,1,142.0,0,43.1,42.0,42.0,0.0,100.0,37,98,195,No,0,100.0,121.0,11972.0,18.05,16.7,0.248,69.09
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400729,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1029,Candle Set,Home & Kitchen,C,Summit Vendor Group,5.95,12.58,10,2026-01-05,Jan-2026,Q1,1,79.0,0,31.0,32.0,32.0,0.0,47.0,15,59,128,No,0,100.0,63.0,279.65,26.41,10.3,0.237,1.71
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400755,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1030,Electric Toothbrush,Health & Beauty,A,Summit Vendor Group,114.92,189.57,7,2026-01-05,Jan-2026,Q1,1,1431.0,0,402.3,385.0,385.0,0.0,1046.0,356,758,1629,No,0,100.0,1238.5,120206.32,16.16,19.0,0.181,495.41
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400781,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1031,Wall Clock,Home & Kitchen,C,BlueOcean Distributors,126.92,241.0,30,2026-01-05,Jan-2026,Q1,1,110.0,0,14.5,13.0,13.0,0.0,97.0,9,71,111,No,0,100.0,103.5,12311.24,6.53,52.2,0.178,44.97
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400807,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1032,Baseball Cap,Apparel,B,Apex Wholesale,46.74,68.22,14,2026-01-05,Jan-2026,Q1,1,174.0,0,64.0,71.0,71.0,0.0,103.0,37,165,263,No,0,100.0,138.5,4814.22,26.66,10.2,0.231,28.76
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400833,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1033,Rice 5kg,Grocery/FMCG,C,Meridian Trading Co.,73.21,183.59,21,2026-01-05,Jan-2026,Q1,1,200.0,0,37.8,46.0,46.0,0.0,154.0,21,134,229,No,0,100.0,177.0,11274.34,13.51,23.4,0.253,63.05
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400859,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1034,Wool Sweater,Apparel,C,Summit Vendor Group,122.85,250.76,7,2026-01-05,Jan-2026,Q1,1,126.0,0,42.9,49.0,49.0,0.0,77.0,40,82,195,No,0,100.0,101.5,9459.45,25.1,11.0,0.178,42.68
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400885,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1035,Rain Jacket,Apparel,B,Meridian Trading Co.,45.25,90.49,14,2026-01-05,Jan-2026,Q1,1,343.0,0,77.6,77.0,77.0,0.0,266.0,73,228,447,No,0,100.0,304.5,12036.5,13.15,24.2,0.27,71.54
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400911,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1036,Men's T-Shirt,Apparel,C,Apex Wholesale,96.94,145.96,14,2026-01-05,Jan-2026,Q1,1,38.0,0,10.6,13.0,13.0,0.0,25.0,5,26,54,No,0,100.0,31.5,2423.5,21.46,13.5,0.163,9.57
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400937,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1037,Denim Jacket,Apparel,B,BlueOcean Distributors,69.89,100.47,7,2026-01-05,Jan-2026,Q1,1,414.0,0,104.5,80.0,80.0,0.0,334.0,91,195,422,No,0,100.0,374.0,23343.26,11.12,29.2,0.214,107.57
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400963,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1038,Throw Blanket,Home & Kitchen,B,Global Source Partners,100.88,225.16,14,2026-01-05,Jan-2026,Q1,1,305.0,0,65.3,74.0,74.0,0.0,231.0,51,181,318,No,0,100.0,268.0,23303.28,14.36,21.9,0.156,81.11
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV400989,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1039,Tablet Stylus,Electronics,C,BlueOcean Distributors,36.6,55.16,7,2026-01-05,Jan-2026,Q1,1,90.0,0,23.4,24.0,24.0,0.0,66.0,15,38,95,No,0,100.0,78.0,2415.6,16.0,19.2,0.256,14.05
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401015,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1040,Cotton Socks (3-pack),Apparel,A,Global Source Partners,2.7,4.66,30,2026-01-05,Jan-2026,Q1,1,2072.0,0,431.9,411.0,411.0,0.0,1661.0,201,2052,3241,No,0,100.0,1866.5,4484.7,11.45,28.3,0.264,25.59
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401041,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1041,Honey Jar,Grocery/FMCG,C,Summit Vendor Group,115.38,234.15,7,2026-01-05,Jan-2026,Q1,1,70.0,0,20.9,23.0,23.0,0.0,47.0,16,36,83,No,0,100.0,58.5,5422.86,20.44,14.3,0.163,21.16
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401067,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1042,Laptop Stand,Electronics,A,Global Source Partners,119.98,238.63,21,2026-01-05,Jan-2026,Q1,1,2133.0,0,375.0,441.0,441.0,0.0,1692.0,341,1466,2267,No,0,100.0,1912.5,203006.16,11.99,26.9,0.185,816.35
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401093,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1043,Smart Plug,Electronics,B,Apex Wholesale,108.12,186.55,30,2026-01-05,Jan-2026,Q1,1,743.0,0,102.3,89.0,89.0,0.0,654.0,99,537,801,No,0,100.0,698.5,70710.48,6.63,51.4,0.172,249.8
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401119,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1044,Pasta 500g,Grocery/FMCG,C,BlueOcean Distributors,76.84,138.63,7,2026-01-05,Jan-2026,Q1,1,21.0,0,6.7,8.0,8.0,0.0,13.0,2,8,24,No,0,100.0,17.0,998.92,24.47,11.4,0.229,5.75
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401145,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1045,Face Moisturizer,Health & Beauty,B,Meridian Trading Co.,31.09,74.16,21,2026-01-05,Jan-2026,Q1,1,454.0,0,112.9,137.0,137.0,0.0,317.0,57,395,613,No,0,100.0,385.5,9855.53,18.48,16.2,0.198,45.64
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401171,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1046,Sneakers,Apparel,B,Summit Vendor Group,49.68,104.84,10,2026-01-05,Jan-2026,Q1,1,307.0,0,122.9,119.0,119.0,0.0,188.0,55,230,465,No,0,100.0,247.5,9339.84,25.0,11.1,0.22,52.02
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401197,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1047,Formal Shirt,Apparel,A,Meridian Trading Co.,21.38,41.08,7,2026-01-05,Jan-2026,Q1,1,1495.0,0,481.2,362.0,362.0,0.0,1133.0,405,886,2088,No,0,100.0,1314.0,24223.54,14.33,21.9,0.16,86.44
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401223,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1048,Granola Bars (Box),Grocery/FMCG,A,Vertex Sourcing Inc.,35.04,77.69,7,2026-01-05,Jan-2026,Q1,1,1779.0,0,447.9,490.0,490.0,0.0,1289.0,403,850,1799,No,0,100.0,1534.0,45166.56,16.61,18.4,0.171,176.76
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401249,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1049,Router,Electronics,A,Union Supply Chain Ltd.,51.12,130.5,7,2026-01-05,Jan-2026,Q1,1,484.0,0,160.7,194.0,194.0,0.0,290.0,79,239,658,No,0,100.0,387.0,14824.8,26.07,10.5,0.268,101.96
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401275,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1050,Hair Oil,Health & Beauty,A,Apex Wholesale,61.95,142.74,30,2026-01-05,Jan-2026,Q1,1,874.0,0,154.2,166.0,166.0,0.0,708.0,66,726,1128,No,0,100.0,791.0,43860.6,10.91,29.9,0.175,164.91
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401301,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1051,USB-C Charger,Electronics,B,Pioneer Import Export,130.74,268.94,10,2026-01-05,Jan-2026,Q1,1,291.0,0,89.3,80.0,80.0,0.0,211.0,69,196,365,No,0,100.0,251.0,27586.14,16.57,18.5,0.182,114.86
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401327,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1052,Power Bank,Electronics,B,Union Supply Chain Ltd.,112.26,204.93,30,2026-01-05,Jan-2026,Q1,1,642.0,0,104.0,87.0,87.0,0.0,555.0,44,489,672,No,0,100.0,598.5,62304.3,7.56,44.7,0.262,338.52
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401353,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1053,Wireless Mouse,Electronics,C,Global Source Partners,7.74,11.09,7,2026-01-05,Jan-2026,Q1,1,34.0,0,13.0,11.0,11.0,0.0,23.0,9,22,48,No,0,100.0,28.5,178.02,20.07,14.6,0.19,0.81
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401379,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1054,Trail Mix,Grocery/FMCG,C,Pioneer Import Export,119.17,244.55,14,2026-01-05,Jan-2026,Q1,1,114.0,0,29.3,25.0,25.0,0.0,89.0,19,77,153,No,0,100.0,101.5,10606.13,12.81,24.9,0.17,39.54
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401405,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1055,Shampoo 400ml,Health & Beauty,B,Summit Vendor Group,114.95,206.6,21,2026-01-05,Jan-2026,Q1,1,204.0,0,57.1,57.0,57.0,0.0,147.0,42,213,322,No,0,100.0,175.5,16897.65,16.89,18.1,0.266,103.2
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401431,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1056,Running Shoes,Apparel,B,Union Supply Chain Ltd.,47.54,72.85,10,2026-01-05,Jan-2026,Q1,1,340.0,0,85.5,70.0,70.0,0.0,270.0,65,187,346,No,0,100.0,305.0,12835.8,11.93,27.0,0.236,65.81
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401457,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1057,Sunscreen SPF50,Health & Beauty,B,BlueOcean Distributors,16.04,24.64,10,2026-01-05,Jan-2026,Q1,1,465.0,0,103.1,104.0,104.0,0.0,361.0,74,221,466,No,0,100.0,413.0,5790.44,13.09,24.3,0.175,22.29
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401483,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1058,Multivitamin Bottle,Health & Beauty,C,Global Source Partners,39.3,78.93,10,2026-01-05,Jan-2026,Q1,1,102.0,0,24.2,29.0,29.0,0.0,73.0,22,56,126,No,0,100.0,87.5,2868.9,17.23,17.6,0.167,11.04
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401509,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1059,Cutting Board,Home & Kitchen,A,Pioneer Import Export,135.29,289.0,21,2026-01-05,Jan-2026,Q1,1,1176.0,0,223.2,271.0,271.0,0.0,905.0,158,827,1483,No,0,100.0,1040.5,122437.45,13.54,23.4,0.187,506.23
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401535,North America,USA,Dallas,WH001,Dallas Regional DC,SKU1060,LED Desk Lamp,Home & Kitchen,B,BlueOcean Distributors,134.54,236.71,14,2026-01-05,Jan-2026,Q1,1,426.0,0,128.4,105.0,105.0,0.0,321.0,77,333,639,No,0,100.0,373.5,43187.34,14.62,21.4,0.187,180.71
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401561,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1061,Wool Sweater,Apparel,C,BlueOcean Distributors,79.5,127.36,14,2026-01-05,Jan-2026,Q1,1,92.0,0,26.2,32.0,32.0,0.0,60.0,14,66,110,No,0,100.0,76.0,4770.0,21.89,13.1,0.206,23.94
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401587,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1062,HDMI Cable,Electronics,B,Vertex Sourcing Inc.,79.0,195.84,10,2026-01-05,Jan-2026,Q1,1,143.0,0,57.0,53.0,53.0,0.0,90.0,27,108,204,No,0,100.0,116.5,7110.0,23.66,11.9,0.219,38.76
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401613,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1063,Body Lotion,Health & Beauty,C,Pioneer Import Export,48.52,123.08,10,2026-01-05,Jan-2026,Q1,1,190.0,0,47.9,38.0,38.0,0.0,152.0,39,107,250,No,0,100.0,171.0,7375.04,11.56,28.0,0.24,38.29
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401639,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1064,Laptop Stand,Electronics,B,Vertex Sourcing Inc.,47.82,86.81,21,2026-01-05,Jan-2026,Q1,1,546.0,0,117.6,91.0,91.0,0.0,455.0,99,451,699,No,0,100.0,500.5,21758.1,9.45,35.0,0.193,88.83
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401665,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1065,Olive Oil 1L,Grocery/FMCG,B,Pioneer Import Export,70.29,108.41,14,2026-01-05,Jan-2026,Q1,1,334.0,0,80.7,95.0,95.0,0.0,239.0,38,199,438,No,0,100.0,286.5,16799.31,17.24,17.6,0.218,84.43
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401691,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1066,Instant Coffee Jar,Grocery/FMCG,A,Union Supply Chain Ltd.,80.92,117.19,7,2026-01-05,Jan-2026,Q1,1,708.0,0,254.1,277.0,277.0,0.0,431.0,169,423,887,No,0,100.0,569.5,34876.52,25.29,10.9,0.22,194.97
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401717,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1067,Sparkling Water (Pack),Grocery/FMCG,C,Global Source Partners,148.19,357.01,10,2026-01-05,Jan-2026,Q1,1,42.0,0,13.3,16.0,16.0,0.0,26.0,6,25,61,No,0,100.0,34.0,3852.94,24.47,11.4,0.276,26.74
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401743,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1068,Throw Blanket,Home & Kitchen,C,Union Supply Chain Ltd.,3.34,5.71,10,2026-01-05,Jan-2026,Q1,1,195.0,0,44.7,52.0,52.0,0.0,143.0,19,82,212,No,0,100.0,169.0,477.62,16.0,19.2,0.185,2.01
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401769,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1069,Women's Leggings,Apparel,C,Global Source Partners,140.25,323.63,21,2026-01-05,Jan-2026,Q1,1,160.0,0,31.3,26.0,26.0,0.0,134.0,26,119,190,No,0,100.0,147.0,18793.5,9.2,36.1,0.18,71.37
NorthPeak Retail Supply Co. (Fictional Dummy Company),INV401795,Europe,Netherlands,Rotterdam,WH002,Rotterdam Regional DC,SKU1070,Hair Oil,Health & Beauty,C,Summit Vendor Group,77.93,164.97,10,2026-01-05,Jan-2026,Q1,1,55.0,0,18.6,22.0,22.0,0.0,33.0,9,35,87,No,0,100.0,44.0,2571.69,26.0,10.5,0.209,13.78
