Company,Record_ID,Year,Month_Name,Quarter,Business_Segment,Asset_Name,Asset_Type,Region,Customer_Segment,Gas_Volume_MMSCMD,Capacity_MMSCMD,Capacity_Utilization_Percent,Average_Price_USD_per_MMBTU,Revenue_INR_Lakh,Opex_INR_Lakh,EBITDA_INR_Lakh,EBITDA_Margin_Percent,Flaring_Loss_MMSCM,Pipeline_Length_KM,Number_of_Customers,Reserves_BCM,Wells_in_Operation,Lifting_Cost_USD_per_BOE
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700016,2021,Apr-2021,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.98,10.92,82.2,7.19,61.9,24.6,37.3,60.26,0.149,0,0,45,22,5.6
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700017,2021,May-2021,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.64,10.92,88.24,7.22,66.72,26.39,40.33,60.45,0.084,0,0,45,22,4.75
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700018,2021,Jun-2021,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.69,10.92,79.54,6.61,55.07,22.84,32.23,58.53,0.133,0,0,45,22,6.75
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700019,2021,Jul-2021,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.77,10.92,80.27,6.07,51.03,18.43,32.6,63.88,0.135,0,0,45,22,8.18
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700020,2021,Aug-2021,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.03,10.92,82.65,6.34,54.88,26.44,28.44,51.82,0.167,0,0,45,22,5.27
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700021,2021,Sep-2021,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.15,10.92,83.75,6.69,58.68,28.61,30.07,51.24,0.162,0,0,45,22,7.65
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700022,2021,Oct-2021,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.92,10.92,81.65,6.99,59.77,24.01,35.76,59.83,0.106,0,0,45,22,3.72
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700023,2021,Nov-2021,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.59,10.92,78.63,7.07,58.22,21.8,36.42,62.56,0.08,0,0,45,23,8.13
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700024,2021,Dec-2021,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.33,10.92,85.4,6.58,58.85,27.53,31.32,53.22,0.102,0,0,45,22,5.41
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700025,2022,Jan-2022,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.37,10.92,85.77,6.21,55.78,20.67,35.11,62.94,0.177,0,0,45,23,7.21
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700026,2022,Feb-2022,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.07,10.92,83.02,7.11,61.82,28.02,33.8,54.67,0.047,0,0,45,23,5.28
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700027,2022,Mar-2022,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.83,10.92,80.82,6.79,57.48,23.0,34.48,59.99,0.132,0,0,45,22,5.37
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700028,2022,Apr-2022,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,9.33,10.92,85.4,7.1,63.5,27.67,35.83,56.43,0.106,0,0,45,23,6.41
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700029,2022,May-2022,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.83,10.92,80.82,6.51,55.11,20.91,34.2,62.06,0.08,0,0,45,22,8.36
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700030,2022,Jun-2022,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.34,10.92,76.34,6.23,49.81,20.08,29.73,59.69,0.057,0,0,45,23,5.77
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700031,2022,Jul-2022,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.77,10.92,80.27,6.8,57.17,21.15,36.02,63.01,0.162,0,0,45,23,5.14
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700032,2022,Aug-2022,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.27,10.92,75.7,6.73,53.36,25.86,27.5,51.54,0.128,0,0,45,22,7.99
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700033,2022,Sep-2022,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.27,10.92,75.7,7.17,56.84,28.21,28.63,50.37,0.159,0,0,45,22,5.42
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700034,2022,Oct-2022,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.8,10.92,80.55,7.05,59.47,21.77,37.7,63.39,0.155,0,0,45,23,6.41
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700035,2022,Nov-2022,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.87,10.92,81.19,6.99,59.44,22.82,36.62,61.61,0.145,0,0,45,22,3.78
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700036,2022,Dec-2022,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.13,10.92,74.42,6.16,48.01,18.67,29.34,61.11,0.046,0,0,45,23,4.65
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700037,2023,Jan-2023,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.53,10.92,78.08,6.89,56.34,23.38,32.96,58.5,0.127,0,0,45,22,5.87
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700038,2023,Feb-2023,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.38,10.92,76.7,7.27,58.4,28.45,29.95,51.28,0.122,0,0,45,23,6.62
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700039,2023,Mar-2023,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.31,10.92,76.06,6.0,47.8,17.37,30.43,63.66,0.129,0,0,45,22,3.88
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700040,2023,Apr-2023,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.43,10.92,77.16,7.09,57.3,22.15,35.15,61.34,0.086,0,0,45,22,3.51
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700041,2023,May-2023,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.57,10.92,78.44,6.41,52.66,19.17,33.49,63.6,0.081,0,0,45,23,5.72
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700042,2023,Jun-2023,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.61,10.92,78.81,7.28,60.09,25.46,34.63,57.63,0.109,0,0,45,22,5.74
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700043,2023,Jul-2023,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.23,10.92,75.33,6.9,54.44,26.21,28.23,51.86,0.099,0,0,45,22,5.08
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700044,2023,Aug-2023,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.0,10.92,73.23,7.33,56.22,27.57,28.65,50.96,0.115,0,0,45,22,6.97
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700045,2023,Sep-2023,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.95,10.92,72.77,7.34,55.94,27.22,28.72,51.34,0.076,0,0,45,22,3.87
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700046,2023,Oct-2023,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.45,10.92,77.35,7.37,59.7,21.13,38.57,64.61,0.091,0,0,45,22,6.0
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700047,2023,Nov-2023,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.38,10.92,76.7,7.36,59.13,27.27,31.86,53.88,0.154,0,0,45,23,8.01
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700048,2023,Dec-2023,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.5,10.92,77.8,6.82,55.57,27.0,28.57,51.41,0.046,0,0,45,23,6.59
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700049,2024,Jan-2024,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.3,10.92,75.97,6.65,52.91,25.16,27.75,52.45,0.114,0,0,45,22,4.83
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700050,2024,Feb-2024,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.4,10.92,76.89,7.35,59.19,26.96,32.23,54.45,0.111,0,0,45,22,7.04
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700051,2024,Mar-2024,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.08,10.92,73.96,6.41,49.65,22.15,27.5,55.39,0.106,0,0,45,22,7.57
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700052,2024,Apr-2024,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.84,10.92,80.92,6.88,58.3,23.3,35.0,60.03,0.115,0,0,45,22,4.36
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700053,2024,May-2024,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.41,10.92,76.98,6.52,52.57,24.79,27.78,52.84,0.048,0,0,45,23,3.72
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700054,2024,Jun-2024,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.93,10.92,72.59,6.23,47.36,18.78,28.58,60.35,0.12,0,0,45,23,6.52
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700055,2024,Jul-2024,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.94,10.92,72.68,6.01,45.75,20.03,25.72,56.22,0.134,0,0,45,22,5.52
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700056,2024,Aug-2024,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.5,10.92,68.65,7.46,53.64,25.28,28.36,52.87,0.083,0,0,45,22,4.65
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700057,2024,Sep-2024,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.64,10.92,69.93,7.15,52.37,25.68,26.69,50.96,0.066,0,0,45,22,6.69
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700058,2024,Oct-2024,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.86,10.92,71.95,6.07,45.74,19.93,25.81,56.43,0.065,0,0,45,22,5.5
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700059,2024,Nov-2024,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.85,10.92,71.85,7.13,53.66,23.86,29.8,55.53,0.078,0,0,45,22,7.23
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700060,2024,Dec-2024,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.53,10.92,68.92,7.14,51.54,22.2,29.34,56.93,0.088,0,0,45,22,6.07
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700061,2025,Jan-2025,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.56,10.92,69.2,6.46,46.82,23.14,23.68,50.58,0.093,0,0,45,22,3.69
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700062,2025,Feb-2025,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.0,10.92,73.23,6.52,50.0,17.97,32.03,64.06,0.122,0,0,45,22,3.52
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700063,2025,Mar-2025,Q1,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.66,10.92,70.11,6.12,44.94,18.6,26.34,58.61,0.053,0,0,45,22,8.88
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700064,2025,Apr-2025,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.69,10.92,70.39,7.02,51.75,23.27,28.48,55.03,0.099,0,0,45,22,9.43
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700065,2025,May-2025,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.77,10.92,71.12,7.08,52.74,19.98,32.76,62.12,0.121,0,0,45,22,6.23
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700066,2025,Jun-2025,Q2,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.55,10.92,69.11,6.48,46.9,19.61,27.29,58.19,0.148,0,0,45,22,5.4
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700067,2025,Jul-2025,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,8.0,10.92,73.23,6.94,53.22,26.32,26.9,50.54,0.103,0,0,45,22,4.2
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700068,2025,Aug-2025,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.42,10.92,67.92,7.4,52.64,21.9,30.74,58.4,0.072,0,0,45,23,7.34
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700069,2025,Sep-2025,Q3,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.93,10.92,72.59,6.81,51.77,21.01,30.76,59.42,0.146,0,0,45,23,7.68
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700070,2025,Oct-2025,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.87,10.92,72.04,6.31,47.61,23.08,24.53,51.52,0.091,0,0,45,22,3.59
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700071,2025,Nov-2025,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.81,10.92,71.49,6.79,50.84,24.55,26.29,51.71,0.093,0,0,45,22,9.01
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700072,2025,Dec-2025,Q4,Exploration & Production,KG Basin Field A,Offshore Field,Andhra Pradesh,N/A,7.7,10.92,70.48,7.41,54.7,27.15,27.55,50.37,0.151,0,0,45,23,7.45
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700073,2020,Jan-2020,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.62,14.95,84.41,6.18,74.77,34.44,40.33,53.94,0.203,0,0,80,38,6.01
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700074,2020,Feb-2020,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,13.4,14.95,89.63,7.46,95.83,35.86,59.97,62.58,0.168,0,0,80,38,5.57
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700075,2020,Mar-2020,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,13.71,14.95,91.71,7.46,98.05,47.82,50.23,51.23,0.185,0,0,80,38,8.82
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700076,2020,Apr-2020,Q2,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.74,14.95,85.22,6.81,83.17,35.08,48.09,57.82,0.157,0,0,80,39,3.86
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700077,2020,May-2020,Q2,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,13.05,14.95,87.29,7.33,91.7,44.61,47.09,51.35,0.186,0,0,80,39,5.08
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700078,2020,Jun-2020,Q2,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.42,14.95,83.08,7.22,85.96,30.88,55.08,64.08,0.072,0,0,80,39,5.49
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700079,2020,Jul-2020,Q3,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.94,14.95,79.87,6.94,79.44,37.19,42.25,53.18,0.181,0,0,80,38,6.12
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700080,2020,Aug-2020,Q3,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.1,14.95,80.94,6.53,75.75,35.85,39.9,52.67,0.237,0,0,80,39,9.44
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700081,2020,Sep-2020,Q3,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.89,14.95,79.53,6.92,78.88,31.05,47.83,60.64,0.146,0,0,80,38,9.31
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700082,2020,Oct-2020,Q4,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.57,14.95,77.39,6.53,72.43,28.24,44.19,61.01,0.215,0,0,80,38,4.12
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700083,2020,Nov-2020,Q4,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.65,14.95,84.62,7.18,87.07,34.4,52.67,60.49,0.08,0,0,80,38,3.83
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700084,2020,Dec-2020,Q4,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.95,14.95,79.93,6.55,75.04,26.28,48.76,64.98,0.19,0,0,80,38,6.76
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700085,2021,Jan-2021,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.94,14.95,86.56,6.74,83.61,34.07,49.54,59.25,0.133,0,0,80,39,6.35
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700086,2021,Feb-2021,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,13.47,14.95,90.1,7.09,91.55,37.53,54.02,59.01,0.119,0,0,80,38,8.14
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700087,2021,Mar-2021,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.69,14.95,84.88,6.93,84.31,31.68,52.63,62.42,0.143,0,0,80,38,6.1
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700088,2021,Apr-2021,Q2,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,13.21,14.95,88.36,6.33,80.16,29.16,51.0,63.62,0.216,0,0,80,38,9.18
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700089,2021,May-2021,Q2,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.32,14.95,82.41,7.36,86.93,33.47,53.46,61.5,0.242,0,0,80,38,7.93
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700090,2021,Jun-2021,Q2,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,13.03,14.95,87.16,6.22,77.7,37.91,39.79,51.21,0.154,0,0,80,38,8.51
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700091,2021,Jul-2021,Q3,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.71,14.95,85.02,6.88,83.83,38.72,45.11,53.81,0.22,0,0,80,38,4.56
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700092,2021,Aug-2021,Q3,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.34,14.95,75.85,6.78,73.71,26.81,46.9,63.63,0.127,0,0,80,39,5.57
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700093,2021,Sep-2021,Q3,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.01,14.95,80.33,7.32,84.28,41.96,42.32,50.21,0.11,0,0,80,38,5.83
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700094,2021,Oct-2021,Q4,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.73,14.95,78.46,6.31,70.96,32.98,37.98,53.52,0.142,0,0,80,38,4.84
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700095,2021,Nov-2021,Q4,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.08,14.95,80.8,6.52,75.5,36.97,38.53,51.03,0.15,0,0,80,38,5.17
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700096,2021,Dec-2021,Q4,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,11.97,14.95,80.07,6.99,80.21,34.03,46.18,57.57,0.091,0,0,80,39,7.64
Bharat Natural Gas Corporation (BNGC) - Fictional Dummy Company,BNGC700097,2022,Jan-2022,Q1,Exploration & Production,Mumbai High Offshore,Offshore Field,Maharashtra,N/A,12.54,14.95,83.88,6.76,81.27,29.1,52.17,64.19,0.11,0,0,80,38,6.86
